zoneid,81sas100929,81sas100930,81sas100931,81sas100932,81sas100933,81sas100934,81sas100935,81sas100936,81sas100937,81sas100938,81sas100939,81sas100940,81sas100941,81sas100942,81sas100943,81sas100944,81sas100945,81sas100946,81sas100947,81sas100948,81sas100949,81sas100950,81sas100951,81sas100952,81sas100953,81sas100954,81sas100955,81sas100956,81sas100957,81sas100958,81sas100959,81sas100960,81sas100961,81sas100962,81sas100963,81sas100964,81sas100965,81sas100966,81sas100967,81sas100968,81sas100969,81sas100970,81sas100971,81sas100972,81sas100973,81sas100974,81sas100975,81sas100976,81sas100977,81sas100978,81sas100979,81sas100980,81sas100981,81sas100982,81sas100983,81sas100984,81sas100985,81sas100986,81sas100987,81sas100988,81sas100989,81sas100990,81sas100991,81sas100992,81sas100993,81sas100994,81sas100995,81sas100996,81sas100997,81sas100998,81sas100999,81sas101000,81sas101001,81sas101002,81sas101003,81sas101004,81sas101005,81sas101006,81sas101007,81sas101008,81sas101009,81sas101010,81sas101011,81sas101012,81sas101013,81sas101014,81sas101015,81sas101016,81sas101017,81sas101018,81sas101019,81sas101020,81sas101021,81sas101022,81sas101023,81sas101024,81sas101025,81sas101026,81sas101027,81sas101028,81sas101029,81sas101030,81sas101031,81sas101032,81sas101033,81sas101034,81sas101035,81sas101036,81sas101037,81sas101038,81sas101039,81sas101040,81sas101041,81sas101042,81sas101043,81sas101044,81sas101045,81sas101046,81sas101047,81sas101048,81sas101049,81sas101050,81sas101051,81sas101052,81sas101053,81sas101054,81sas101055,81sas101056,81sas101057,81sas101058,81sas101059,81sas101060,81sas101061,81sas101062,81sas101063,81sas101064,81sas101065,81sas101066,81sas101067,81sas101068,81sas101069,81sas101070,81sas101071,81sas101072,81sas101073,81sas101074,81sas101075,81sas101076,81sas101077,81sas101078,81sas101079,81sas101080,81sas101081,81sas101082,81sas101083,81sas101084,81sas101085,81sas101086,81sas101087,81sas101088,81sas101089,81sas101090,81sas101091,81sas101092,81sas101093,81sas101094,81sas101095,81sas101096,81sas101097,81sas101098,81sas101099,81sas101100,81sas101101,81sas101102,81sas101103,81sas101104,81sas101105,81sas101106,81sas101107,81sas101108,81sas101109,81sas101110,81sas101111,81sas101112,81sas101113,81sas101114,81sas101115,81sas101116,81sas101117,81sas101118,81sas101119,81sas101120,81sas101121,81sas101122,81sas101123,81sas101124,81sas101125,81sas101126,81sas101127,81sas101128,81sas101129,81sas101130,81sas101131,81sas101132,81sas101133,81sas101134,81sas101135,81sas101136,81sas101137,81sas101138,81sas101139,81sas101140,81sas101141,81sas101142,81sas101143,81sas101144,81sas101145,81sas101146,81sas101147,81sas101148
03BNAK    ,4692,4659,19,11,3,8,9,17,11540,11477,27,30,6,19,23,18,30,147,189,885,2998,6108,4692,4659,19,11,3,8,9,17,11540,11477,27,30,6,19,23,18,1152,1149,0,2,1,2,2,0,3470,3459,0,6,5,9,7,0,3423,3407,5,9,2,6,7,5,7821,7784,12,24,1,10,16,5,5,5,0,0,0,0,0,0,14,14,0,0,0,0,0,0,6,6,0,0,0,0,0,0,18,18,0,0,0,0,0,0,23,23,0,0,0,0,0,0,80,80,0,0,0,0,0,0,51,51,0,0,0,0,0,0,96,96,0,0,0,0,0,0,32,18,14,0,0,0,0,12,41,26,15,0,0,0,0,13,30,147,189,885,7,35,30,202,22,110,149,674,0,0,0,0,0,0,0,0,1,2,8,9,0,0,0,0,0,0,2,0,2998,6108,356,829,2571,5145,4,9,0,0,8,31,35,65,24,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BNAL    ,3674,3429,121,116,8,22,110,113,11003,10476,202,299,26,54,297,181,87,269,538,1727,2386,6277,3674,3429,121,116,8,22,110,113,11003,10476,202,299,26,54,297,181,1730,1654,17,55,4,8,55,14,5965,5729,43,174,19,32,180,37,1373,1362,4,7,0,2,5,3,3743,3713,17,13,0,4,9,15,91,86,0,5,0,0,5,0,241,226,0,15,0,0,15,0,5,4,1,0,0,0,0,1,15,13,2,0,0,0,0,2,66,66,0,0,0,0,0,0,232,232,0,0,0,0,0,0,161,115,4,39,3,5,40,4,367,274,8,81,4,8,81,8,248,142,95,10,1,7,5,91,440,289,132,16,3,10,12,119,87,269,538,1727,50,163,398,1065,10,85,73,531,1,6,5,35,1,0,5,0,0,2,0,12,2,9,1,53,23,4,56,31,2386,6277,879,2680,1106,2792,58,159,1,4,19,69,121,239,202,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BNAM    ,5620,5073,407,84,56,66,130,401,13599,12814,535,146,104,117,237,520,45,101,185,619,2680,5102,5620,5073,407,84,56,66,130,401,13599,12814,535,146,104,117,237,520,3425,3356,22,37,10,11,46,18,9540,9419,40,59,22,24,79,32,273,267,2,4,0,0,4,2,750,740,0,10,0,0,10,0,449,427,3,11,8,11,16,3,769,723,2,24,20,24,40,2,10,10,0,0,0,0,0,0,30,30,0,0,0,0,0,0,39,39,0,0,0,0,0,0,116,116,0,0,0,0,0,0,580,474,43,28,35,37,61,43,1081,915,61,48,57,59,103,59,844,500,337,4,3,7,3,335,1313,871,432,5,5,10,5,427,45,101,185,619,12,72,97,469,1,14,11,92,2,3,5,12,0,0,0,0,0,0,0,0,2,5,6,26,28,7,66,20,2680,5102,1276,2791,175,400,299,468,3,13,11,23,400,677,516,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BNAN    ,1875,1815,7,18,35,46,42,7,4461,4321,9,38,93,112,112,9,35,103,179,563,1478,3215,1859,1815,7,17,20,31,26,7,4422,4321,9,33,59,78,73,9,80,69,0,3,8,10,9,0,211,178,0,6,27,29,31,0,1464,1456,2,4,2,5,3,1,3345,3319,2,16,8,19,13,1,89,86,0,2,1,3,1,0,229,222,0,2,5,7,5,0,32,32,0,0,0,0,0,0,96,96,0,0,0,0,0,0,136,128,4,2,2,4,2,5,377,368,4,2,3,5,3,5,51,38,0,6,7,9,11,0,138,115,0,7,16,18,21,0,7,6,1,0,0,0,0,1,26,23,3,0,0,0,0,3,26,100,158,552,2,3,15,14,22,80,122,455,1,6,8,33,0,2,0,5,0,6,6,25,1,1,7,7,0,2,0,13,1474,3208,37,94,1267,2689,64,170,8,21,63,146,30,74,5,14,16,0,0,1,15,15,16,0,39,0,0,5,34,34,39,0,9,3,21,11,4,7
03BNAP    ,6228,6204,10,11,3,10,7,7,17703,17635,33,31,4,29,10,23,68,373,468,2217,3852,9570,6228,6204,10,11,3,10,7,7,17703,17635,33,31,4,29,10,23,770,769,0,1,0,0,1,0,2516,2514,0,2,0,0,2,0,5403,5381,9,10,3,10,6,6,15014,14953,28,29,4,29,8,18,13,13,0,0,0,0,0,0,30,30,0,0,0,0,0,0,4,4,0,0,0,0,0,0,16,16,0,0,0,0,0,0,20,20,0,0,0,0,0,0,80,80,0,0,0,0,0,0,13,13,0,0,0,0,0,0,33,33,0,0,0,0,0,0,5,4,1,0,0,0,0,1,14,9,5,0,0,0,0,5,68,373,468,2217,6,14,42,91,61,356,421,2110,0,0,0,0,0,1,0,5,0,2,0,11,0,0,0,0,1,0,5,0,3852,9570,127,332,3706,9183,5,10,0,0,5,22,7,16,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BNAQ    ,5583,5019,357,157,50,67,190,348,14002,13052,491,365,94,128,425,469,75,152,330,901,3004,6156,5583,5019,357,157,50,67,190,348,14002,13052,491,365,94,128,425,469,3477,3376,27,63,11,19,66,22,9918,9664,69,161,24,43,166,49,390,381,4,5,0,1,4,4,1072,1058,6,8,0,2,6,6,525,488,15,5,17,17,22,14,921,855,18,10,38,38,48,16,9,8,1,0,0,0,0,1,27,24,3,0,0,0,0,3,43,43,0,0,0,0,0,0,129,129,0,0,0,0,0,0,535,402,35,76,22,27,93,36,1020,769,52,167,32,39,192,54,604,321,275,8,0,3,5,271,915,553,343,19,0,6,13,341,75,152,330,901,14,103,115,649,7,19,54,130,3,5,29,21,0,2,0,3,0,4,0,17,5,9,24,50,46,10,108,31,3004,6156,1430,3362,302,777,414,675,2,2,14,39,398,667,444,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BNAR    ,5823,5556,171,56,40,50,86,164,14299,13919,228,86,66,84,134,211,24,86,103,504,2068,3583,5823,5556,171,56,40,50,86,164,14299,13919,228,86,66,84,134,211,4163,4121,10,24,8,13,27,9,11208,11142,19,38,9,18,38,19,313,308,2,1,2,3,2,1,837,828,4,1,4,5,4,1,275,260,3,4,8,10,10,2,403,381,3,8,11,16,14,2,14,14,0,0,0,0,0,0,41,41,0,0,0,0,0,0,40,39,0,0,1,1,1,0,108,105,0,0,3,3,3,0,530,475,12,24,19,20,42,12,868,778,18,35,37,39,70,18,488,339,144,3,2,3,4,140,834,644,184,4,2,3,5,171,24,86,103,504,8,50,52,315,1,17,8,113,3,2,8,8,0,0,0,0,0,3,0,12,3,4,12,19,9,10,23,37,2068,3583,1076,1943,212,485,168,231,2,5,16,35,343,502,251,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BNAS    ,4299,3693,12,456,138,151,581,9,11062,9741,31,976,314,341,1263,17,17,174,120,996,2757,6070,4297,3691,12,456,138,151,581,9,11057,9736,31,976,314,341,1263,17,2300,2034,5,205,56,63,254,2,6533,5902,20,480,131,140,602,6,1255,1243,0,7,5,7,10,0,2926,2896,0,19,11,16,25,0,161,132,0,23,6,7,28,0,393,339,0,40,14,15,53,0,15,15,0,0,0,0,0,0,58,58,0,0,0,0,0,0,15,12,0,2,1,1,3,0,51,44,0,4,3,3,7,0,518,237,1,212,68,71,277,1,1042,467,4,419,152,164,559,4,33,18,6,7,2,2,9,6,54,30,7,14,3,3,17,7,17,174,120,996,5,95,44,542,9,52,51,305,0,7,0,40,0,4,0,22,0,2,0,11,3,14,25,76,0,0,0,0,2757,6070,1120,2678,1065,2309,124,275,3,12,3,10,416,746,26,40,2,2,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
03BNAT    ,4142,3683,49,259,151,159,402,47,11159,10217,74,571,297,310,855,69,32,182,256,1131,2647,6446,4142,3683,49,259,151,159,402,47,11159,10217,74,571,297,310,855,69,1699,1545,7,105,42,44,145,6,4637,4282,16,251,88,94,333,14,1452,1437,0,10,5,6,14,0,4168,4134,0,28,6,7,33,0,441,421,1,5,14,14,19,0,1170,1127,3,8,32,32,40,0,8,8,0,0,0,0,0,0,20,20,0,0,0,0,0,0,24,23,0,1,0,0,1,0,76,74,0,2,0,0,2,0,429,200,10,131,88,92,215,10,928,481,19,262,166,170,424,19,89,49,31,7,2,3,8,31,160,99,36,20,5,7,23,36,32,182,256,1131,3,59,23,350,20,87,179,570,1,21,9,130,0,0,0,3,0,1,0,5,6,12,41,64,2,2,4,9,2647,6446,820,1942,1105,2958,337,833,1,4,7,21,317,595,60,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BNAU    ,3420,3206,31,154,29,38,174,29,9021,8521,44,373,83,96,443,42,28,191,185,1172,2641,6442,3418,3206,31,154,27,36,172,29,9016,8521,44,373,78,91,438,42,550,463,0,74,13,13,87,0,1571,1328,0,202,41,41,243,0,2509,2487,10,12,0,2,10,9,6605,6564,16,23,2,6,21,14,85,69,4,11,1,1,12,4,215,178,4,33,0,0,33,4,6,6,0,0,0,0,0,0,17,17,0,0,0,0,0,0,35,32,2,0,1,1,1,2,116,106,4,0,6,6,6,4,193,130,1,52,10,13,59,1,435,297,8,105,25,28,127,8,40,19,14,5,2,6,3,13,57,31,12,10,4,10,8,12,26,191,181,1172,4,28,25,152,18,151,144,950,0,3,0,21,0,1,0,6,0,6,0,36,1,2,6,7,3,0,6,0,2641,6442,300,746,2111,5241,66,152,0,1,8,20,127,249,29,33,2,0,0,0,2,2,2,0,5,0,0,0,5,5,5,0,2,0,4,0,0,0
03BNAW    ,4135,4052,72,11,0,8,3,63,9626,9470,126,28,2,23,9,99,69,203,379,1031,3453,7632,4133,4050,72,11,0,8,3,63,9622,9466,126,28,2,23,9,99,35,32,3,0,0,0,0,3,100,93,5,0,2,2,2,5,3910,3866,33,11,0,8,3,24,9081,8975,78,28,0,21,7,51,65,63,2,0,0,0,0,2,132,129,3,0,0,0,0,3,12,12,0,0,0,0,0,0,49,49,0,0,0,0,0,0,35,35,0,0,0,0,0,0,109,109,0,0,0,0,0,0,31,31,0,0,0,0,0,0,75,75,0,0,0,0,0,0,45,11,34,0,0,0,0,34,76,36,40,0,0,0,0,40,69,203,379,1031,2,3,12,12,60,177,342,924,2,13,8,42,0,2,0,11,0,1,0,4,3,4,9,22,2,3,8,16,3451,7629,31,80,3311,7345,41,78,1,2,18,50,16,35,33,39,2,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,3
03BNAX    ,6273,5061,292,672,248,271,897,286,16060,13775,372,1440,473,529,1857,361,63,252,411,1468,3638,7759,6273,5061,292,672,248,271,897,286,16060,13775,372,1440,473,529,1857,361,3865,3507,22,266,70,83,323,21,11337,10477,50,647,163,198,775,46,461,438,4,12,7,8,18,1,1036,973,7,38,18,25,49,3,295,262,1,14,18,18,32,0,580,520,0,20,40,40,60,0,14,12,0,2,0,1,1,0,42,38,0,4,0,3,1,0,34,31,1,2,0,0,2,1,108,103,1,4,0,0,4,1,1084,568,17,354,145,146,498,18,2152,1200,25,686,241,242,926,26,520,243,247,22,8,15,23,245,805,464,289,41,11,21,42,285,63,252,411,1468,44,191,329,1116,4,25,24,162,0,10,0,50,0,1,0,6,0,1,5,7,2,16,17,88,13,8,36,39,3638,7759,1822,4572,372,753,211,383,5,12,11,34,802,1398,415,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03BNAY    ,5361,4508,15,735,103,116,825,13,13913,12164,31,1516,202,220,1700,22,14,217,83,1271,3313,7374,5361,4508,15,735,103,116,825,13,13913,12164,31,1516,202,220,1700,22,3124,2764,1,336,23,31,351,1,8829,8001,7,767,54,64,811,3,1296,1254,6,19,17,18,35,4,3217,3116,16,39,46,47,84,11,145,94,0,48,3,3,51,0,375,255,0,115,5,5,120,0,12,9,0,3,0,0,3,0,37,29,0,8,0,0,8,0,20,15,1,2,2,2,4,1,53,45,1,5,2,2,7,1,724,346,0,321,57,60,375,0,1326,665,0,569,92,98,655,0,40,26,7,6,1,2,6,7,76,53,7,13,3,4,15,7,14,217,83,1271,12,134,74,784,1,62,4,367,0,4,0,19,1,1,5,9,0,0,0,7,0,15,0,81,0,1,0,4,3313,7374,1599,3898,999,2247,105,231,1,3,10,20,569,920,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
