zoneid,81sas100929,81sas100930,81sas100931,81sas100932,81sas100933,81sas100934,81sas100935,81sas100936,81sas100937,81sas100938,81sas100939,81sas100940,81sas100941,81sas100942,81sas100943,81sas100944,81sas100945,81sas100946,81sas100947,81sas100948,81sas100949,81sas100950,81sas100951,81sas100952,81sas100953,81sas100954,81sas100955,81sas100956,81sas100957,81sas100958,81sas100959,81sas100960,81sas100961,81sas100962,81sas100963,81sas100964,81sas100965,81sas100966,81sas100967,81sas100968,81sas100969,81sas100970,81sas100971,81sas100972,81sas100973,81sas100974,81sas100975,81sas100976,81sas100977,81sas100978,81sas100979,81sas100980,81sas100981,81sas100982,81sas100983,81sas100984,81sas100985,81sas100986,81sas100987,81sas100988,81sas100989,81sas100990,81sas100991,81sas100992,81sas100993,81sas100994,81sas100995,81sas100996,81sas100997,81sas100998,81sas100999,81sas101000,81sas101001,81sas101002,81sas101003,81sas101004,81sas101005,81sas101006,81sas101007,81sas101008,81sas101009,81sas101010,81sas101011,81sas101012,81sas101013,81sas101014,81sas101015,81sas101016,81sas101017,81sas101018,81sas101019,81sas101020,81sas101021,81sas101022,81sas101023,81sas101024,81sas101025,81sas101026,81sas101027,81sas101028,81sas101029,81sas101030,81sas101031,81sas101032,81sas101033,81sas101034,81sas101035,81sas101036,81sas101037,81sas101038,81sas101039,81sas101040,81sas101041,81sas101042,81sas101043,81sas101044,81sas101045,81sas101046,81sas101047,81sas101048,81sas101049,81sas101050,81sas101051,81sas101052,81sas101053,81sas101054,81sas101055,81sas101056,81sas101057,81sas101058,81sas101059,81sas101060,81sas101061,81sas101062,81sas101063,81sas101064,81sas101065,81sas101066,81sas101067,81sas101068,81sas101069,81sas101070,81sas101071,81sas101072,81sas101073,81sas101074,81sas101075,81sas101076,81sas101077,81sas101078,81sas101079,81sas101080,81sas101081,81sas101082,81sas101083,81sas101084,81sas101085,81sas101086,81sas101087,81sas101088,81sas101089,81sas101090,81sas101091,81sas101092,81sas101093,81sas101094,81sas101095,81sas101096,81sas101097,81sas101098,81sas101099,81sas101100,81sas101101,81sas101102,81sas101103,81sas101104,81sas101105,81sas101106,81sas101107,81sas101108,81sas101109,81sas101110,81sas101111,81sas101112,81sas101113,81sas101114,81sas101115,81sas101116,81sas101117,81sas101118,81sas101119,81sas101120,81sas101121,81sas101122,81sas101123,81sas101124,81sas101125,81sas101126,81sas101127,81sas101128,81sas101129,81sas101130,81sas101131,81sas101132,81sas101133,81sas101134,81sas101135,81sas101136,81sas101137,81sas101138,81sas101139,81sas101140,81sas101141,81sas101142,81sas101143,81sas101144,81sas101145,81sas101146,81sas101147,81sas101148
11        ,233629,225019,3767,2841,2002,2831,4014,3191,660721,644292,5822,7089,3518,5002,9123,5021,1691,6165,9380,35588,61790,125962,230984,222790,3757,2649,1788,2532,3693,3186,654947,639401,5801,6686,3059,4389,8415,5009,146901,145005,446,860,590,883,1157,388,436578,432201,1305,2070,1002,1527,2547,1143,54120,52222,669,1145,84,223,1090,288,150061,145499,841,3441,280,571,3430,416,4055,3854,167,15,19,27,26,114,7947,7691,203,31,22,37,38,140,698,688,6,3,1,3,2,6,2182,2159,18,4,1,3,3,18,6326,6213,85,18,10,15,23,80,19235,19013,142,58,22,33,69,128,10270,8506,245,497,1022,1261,1280,224,21302,18350,413,911,1628,2038,2129,386,8614,6302,2139,111,62,120,115,2086,17642,14488,2879,171,104,180,199,2778,1570,6052,8877,35123,670,2688,4788,16110,391,2756,2521,16063,31,91,95,452,2,15,9,75,26,167,135,919,69,171,270,832,381,164,1059,672,61009,124596,22474,45700,26282,58377,2356,3486,61,169,1171,3043,5240,8355,3425,5466,2645,2229,10,192,214,299,321,5,5774,4891,21,403,459,613,708,12,121,113,503,465,781,1366
12        ,192986,188292,1283,1868,1543,2232,2722,973,554121,544836,2099,4409,2777,4016,5947,1668,889,3922,5517,23117,46347,95759,191753,187539,1279,1670,1265,1910,2290,970,551323,543247,2086,3903,2087,3236,4841,1660,119987,118643,173,639,532,803,900,143,358840,356053,547,1343,897,1390,1747,454,52820,51772,438,591,19,153,476,196,145714,143402,545,1734,33,294,1506,270,1789,1745,33,9,2,11,2,9,3373,3317,36,17,3,20,3,12,951,936,7,7,1,3,6,7,3079,3034,24,20,1,9,13,25,4899,4822,41,25,11,17,30,41,15170,15011,72,61,26,39,74,72,7503,6427,64,353,659,855,816,59,16521,14691,126,634,1070,1384,1390,115,3804,3194,523,46,41,68,60,515,8626,7739,736,94,57,100,108,712,772,3838,5014,22792,335,1451,2641,8784,271,2028,1808,12143,4,33,18,165,5,27,21,149,21,129,88,710,21,110,118,556,115,60,320,285,46019,95125,15339,29717,24677,55150,1027,1491,53,117,789,2040,3076,4820,1058,1790,1233,753,4,198,278,322,432,3,2798,1589,13,506,690,780,1106,8,117,84,503,325,328,634
13        ,205910,197485,1834,3373,3218,4132,5677,1513,561025,544712,2608,7675,6030,7624,12111,2133,933,3718,4800,22165,61349,122071,203894,196111,1827,3208,2748,3550,5154,1504,556612,542006,2598,7344,4664,6074,10598,2121,115841,112801,199,1486,1355,1788,2408,179,329832,323918,482,3109,2323,3075,4680,410,59222,57746,450,941,85,199,912,192,157153,153613,587,2755,198,406,2745,273,4053,3969,42,26,16,22,36,40,8083,7947,65,46,25,33,63,63,1338,1315,6,9,8,11,14,5,4368,4312,16,25,15,24,31,13,6511,6316,77,74,44,58,104,72,20074,19703,108,187,76,99,240,94,10282,8460,103,557,1162,1351,1530,88,23119,20015,190,1014,1900,2235,2579,158,6647,5504,950,115,78,121,150,928,13983,12498,1150,208,127,202,260,1110,640,3656,3563,21923,221,1366,1529,8268,210,1897,1408,11518,13,54,53,300,5,21,28,115,14,137,82,766,31,107,115,610,146,74,348,346,60585,120820,20477,39081,29352,62580,2367,3810,65,146,1224,3329,4108,6594,2992,5280,2016,1374,7,165,470,582,523,9,4413,2706,10,331,1366,1550,1513,12,293,62,1237,242,764,1251
14        ,324701,311722,1675,6417,4887,5620,10571,1235,910970,885349,2352,14887,8382,9626,22025,1783,988,7648,6083,45629,105761,226619,323346,310652,1672,6305,4717,5416,10323,1233,908296,883299,2348,14655,7994,9175,21468,1780,200431,196174,172,2133,1952,2242,3795,126,582139,573603,448,4561,3527,4062,7553,335,94859,91469,622,2580,188,354,2602,272,262662,254497,782,7048,335,631,7087,394,3397,3310,27,33,27,45,42,19,7506,7386,28,52,40,67,65,20,1534,1500,8,16,10,11,25,6,5286,5197,30,34,25,26,58,21,4060,3893,45,97,25,31,116,38,12598,12224,64,258,52,62,300,53,15152,11285,115,1343,2409,2604,3557,109,30841,24286,182,2520,3853,4131,6095,174,3913,3021,683,103,106,129,186,663,7264,6106,814,182,162,196,310,783,886,7593,5686,45414,234,2732,1528,16025,502,4424,3566,26984,12,65,73,383,7,19,41,101,18,109,112,618,47,202,217,1082,66,42,149,221,105352,225981,37655,74290,54867,130367,2062,3742,75,174,678,1732,8296,13111,1719,2565,1355,1070,3,112,170,204,248,2,2674,2050,4,232,388,451,557,3,102,55,397,215,409,638
15        ,196136,188856,1258,4234,1788,2127,5683,1112,562257,546058,1879,10914,3406,4182,13544,1661,1121,6932,7232,41137,89828,219313,195851,188651,1257,4217,1726,2055,5614,1112,561622,545632,1877,10878,3235,3992,13356,1661,110288,107057,97,2370,764,896,3002,83,328113,320518,284,5744,1567,1864,7014,249,70084,68590,353,1099,42,159,1024,237,199548,195349,464,3639,96,415,3416,307,4578,4461,17,59,41,46,95,13,10398,10099,28,191,80,94,257,22,314,307,0,3,4,5,6,0,1013,995,0,12,6,8,16,0,1316,1292,4,16,4,7,17,4,4152,4088,10,42,12,20,46,10,6048,4636,65,541,806,855,1298,64,12299,9780,143,1006,1370,1454,2292,141,3223,2308,721,129,65,87,172,711,6099,4803,948,244,104,137,315,932,1075,6922,7039,41092,357,2356,2464,13677,560,4152,3953,25238,17,141,107,820,1,11,2,62,7,61,43,332,36,124,194,622,97,77,276,341,89694,219031,29414,69246,50734,131725,3023,6315,25,65,277,735,4190,7479,2031,3466,285,205,1,17,62,72,69,0,635,426,2,36,171,190,188,0,46,10,193,45,134,282
16        ,154850,146070,1007,3013,4760,6228,6305,876,408636,391037,1908,6316,9375,12015,13051,1629,674,2955,3090,16622,45725,86710,151930,144104,992,2718,4116,5415,5535,867,402310,386798,1872,5675,7965,10266,11339,1608,102320,98351,248,1579,2142,2890,2973,198,272696,264763,681,3138,4114,5392,5974,540,28826,28422,103,235,66,116,251,62,78820,77798,196,674,152,263,715,148,884,821,12,31,20,46,25,7,1863,1769,16,41,37,69,46,9,1670,1587,10,23,50,59,64,8,5698,5476,32,66,124,146,168,24,3019,2934,13,36,36,48,60,10,9349,9129,36,98,86,123,147,23,10695,8251,126,666,1652,2034,1936,115,24345,19543,234,1392,3176,3877,3867,214,4516,3738,480,148,150,222,226,467,9539,8320,677,266,276,396,422,650,391,2773,2075,15896,109,1092,613,6215,143,1304,982,7761,3,15,19,78,4,16,16,104,6,50,33,271,34,184,183,963,92,112,229,504,44664,84860,21771,37636,15210,33792,489,782,82,189,572,1624,4650,7586,1890,3251,2920,1966,15,295,644,813,770,9,6326,4239,36,641,1410,1749,1712,21,283,182,1015,726,1061,1850
17        ,171965,164255,919,3315,3476,4162,6105,720,464264,449879,1445,6954,5986,7213,11713,1141,541,4085,2968,22999,63442,133944,171182,163794,911,3226,3251,3876,5852,716,462673,448886,1431,6790,5566,6682,11240,1137,98252,94944,139,1525,1644,1903,2910,114,269104,262629,373,3192,2910,3384,5628,297,45629,44419,198,935,77,148,941,76,124976,122458,286,2104,128,255,2105,146,7053,6933,44,44,32,53,55,18,18628,18422,54,101,51,90,113,23,1915,1867,8,15,25,27,38,6,6864,6716,28,56,64,67,117,22,3648,3566,24,40,18,27,49,17,11454,11274,43,95,42,59,120,25,11764,9741,84,594,1345,1587,1697,82,26092,22641,143,1113,2195,2617,2886,135,2921,2324,414,73,110,131,162,403,5555,4746,504,129,176,210,271,489,458,4036,2676,22818,117,1235,688,6877,218,2132,1417,12308,27,271,200,1635,5,24,26,152,11,78,57,436,34,235,173,1152,46,61,115,258,63163,133515,24699,47915,27113,64361,3928,8554,73,175,523,1330,5539,9155,1288,2025,783,461,8,89,225,286,253,4,1591,993,14,164,420,531,473,4,83,49,292,181,279,429
18        ,331256,314901,1617,8487,6251,7117,13872,1308,893561,860789,2456,19257,11059,12681,28694,2013,1104,7767,7269,46311,130619,278419,330326,314224,1615,8418,6069,6907,13649,1305,891685,859441,2450,19064,10730,12287,28237,2004,198453,192169,196,3724,2364,2750,5702,164,556567,543650,544,7993,4380,5148,11605,438,95105,92338,336,2240,191,283,2339,95,252545,245673,486,6025,361,572,6175,218,3997,3848,29,76,44,61,103,24,8579,8300,40,162,77,106,210,35,1655,1561,10,46,38,44,78,7,5485,5220,34,145,86,103,214,24,3534,3403,26,88,17,21,101,24,11122,10761,38,275,48,53,318,33,23248,17834,144,2055,3215,3508,4977,137,49690,39863,234,4150,5443,5911,9125,217,4334,3071,874,189,200,240,349,854,7697,5974,1074,314,335,394,590,1039,1006,7729,6905,46165,405,3379,2868,19999,430,3676,3264,22395,11,80,54,491,6,37,30,209,13,106,95,616,63,396,382,2193,78,55,212,262,130251,277845,51290,106409,59154,135794,2546,4633,121,272,749,2152,13893,24720,2498,3865,930,677,2,69,182,210,223,3,1876,1348,6,193,329,394,457,9,98,38,364,146,368,574
19        ,348091,332319,6332,5056,4384,6490,7334,5811,902974,875088,10131,9959,7796,11318,14233,9135,1625,6177,6533,34714,116753,225306,345309,330364,6318,4769,3858,5854,6631,5802,897629,871349,10099,9386,6795,10126,12850,9121,220724,215906,1039,2174,1605,2426,2958,875,583443,573947,2276,4290,2930,4352,5798,1913,69344,68485,308,474,77,185,443,200,191796,189754,508,1396,138,379,1293,367,6298,5953,160,114,71,140,116,132,13136,12610,184,233,109,224,227,150,2473,2404,31,16,22,31,29,27,8430,8242,103,38,47,64,68,89,7177,7022,50,57,48,65,88,46,22326,21981,101,137,107,142,209,92,24247,19520,1261,1590,1876,2708,2634,1164,49815,41720,2122,2751,3222,4524,4671,1912,15046,11074,3469,344,159,299,363,3358,28683,23095,4805,541,242,441,584,4598,1424,6076,5841,34324,267,2064,1448,11953,358,3075,2238,17909,31,113,116,602,9,49,43,270,17,149,83,831,97,333,357,1621,645,293,1556,1138,115721,223778,51013,90090,38511,89009,3854,6537,140,372,1555,4444,12638,20041,8010,13285,2782,1955,14,287,526,636,703,9,5345,3739,32,573,1001,1192,1383,14,201,101,692,390,1032,1528
20        ,224815,216831,4331,2081,1572,2436,2789,3912,564396,551203,6201,4308,2684,4131,5545,5508,1069,3348,3901,18886,68274,119661,222376,214819,4326,1883,1348,2125,2454,3907,559815,547458,6193,3944,2220,3520,4864,5500,148388,146691,483,698,516,800,930,365,379468,376226,1071,1330,841,1335,1677,833,36792,36177,196,391,28,79,368,112,101646,100089,276,1214,67,189,1159,184,3547,3389,114,34,10,36,18,107,5951,5760,126,50,15,51,29,117,1409,1391,5,8,5,5,13,5,4649,4607,13,21,8,8,29,13,5574,5458,67,37,12,25,36,62,17139,16913,112,92,22,48,88,96,16498,14597,570,597,734,1074,991,480,32164,29060,854,1051,1199,1734,1715,708,10168,7116,2891,118,43,106,98,2776,18798,14803,3741,186,68,155,167,3549,960,3278,3477,18612,133,1237,723,7141,152,1471,1035,8706,8,34,19,172,3,25,18,140,17,137,80,794,76,200,271,981,571,174,1331,678,67370,118355,32125,53148,17647,38231,2315,2999,87,215,943,2435,8909,13441,5344,7886,2439,2012,5,198,224,311,335,5,4581,3745,8,364,464,611,681,8,109,70,424,274,904,1306
