"table_column_name","description"
S010042,Not in households// 1971 BASE (1 + 3)// Females// Persons// Persons present plus absent residents in private households
S010043,TOTAL: Occupied households// 1981 BASE (1 + 2) (All tables for residents on 100% topics are on this population base)// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010044,In households// 1981 BASE (1 + 2) (All tables for residents on 100% topics are on this population base)// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010045,In households// 1981 BASE (1 + 2) (All tables for residents on 100% topics are on this population base)// Males// Persons// Persons present plus absent residents in private households
S010046,In households// 1981 BASE (1 + 2) (All tables for residents on 100% topics are on this population base)// Females// Persons// Persons present plus absent residents in private households
S010047,Not in households// 1981 BASE (1 + 2) (All tables for residents on 100% topics are on this population base)// TOTAL: Sex// Persons// Persons present plus absent residents in private households
S010048,Not in households// 1981 BASE (1 + 2) (All tables for residents on 100% topics are on this population base)// Males// Persons// Persons present plus absent residents in private households
S010049,Not in households// 1981 BASE (1 + 2) (All tables for residents on 100% topics are on this population base)// Females// Persons// Persons present plus absent residents in private households
S020050,TOTAL: Age// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020051,TOTAL: Age// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020052,"TOTAL: Age// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020053,TOTAL: Age// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020054,TOTAL: Age// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020055,"TOTAL: Age// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020056,TOTAL: Age// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020057,Age 0 to 4// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020058,Age 0 to 4// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020059,"Age 0 to 4// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020061,Age 0 to 4// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020062,"Age 0 to 4// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020064,Age 5 to 9// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020065,Age 5 to 9// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020066,"Age 5 to 9// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020068,Age 5 to 9// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020069,"Age 5 to 9// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020071,Age 10 to 14// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020072,Age 10 to 14// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020073,"Age 10 to 14// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020075,Age 10 to 14// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020076,"Age 10 to 14// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020078,Age 15// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020079,Age 15// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020080,"Age 15// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020082,Age 15// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020083,"Age 15// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020085,Age 16 to 19// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020086,Age 16 to 19// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020087,"Age 16 to 19// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020088,Age 16 to 19// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020089,Age 16 to 19// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020090,"Age 16 to 19// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020091,Age 16 to 19// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020092,Age 20 to 24// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020093,Age 20 to 24// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020094,"Age 20 to 24// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020095,Age 20 to 24// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020096,Age 20 to 24// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020097,"Age 20 to 24// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020098,Age 20 to 24// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020099,Age 25 to 29// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020100,Age 25 to 29// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020101,"Age 25 to 29// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020102,Age 25 to 29// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020103,Age 25 to 29// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020104,"Age 25 to 29// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020105,Age 25 to 29// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020106,Age 30 to 34// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020107,Age 30 to 34// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020108,"Age 30 to 34// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020109,Age 30 to 34// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020110,Age 30 to 34// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020111,"Age 30 to 34// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020112,Age 30 to 34// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020113,Age 35 to 39// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020114,Age 35 to 39// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020115,"Age 35 to 39// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020116,Age 35 to 39// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020117,Age 35 to 39// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020118,"Age 35 to 39// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020119,Age 35 to 39// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020120,Age 40 to 44// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020121,Age 40 to 44// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020122,"Age 40 to 44// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020123,Age 40 to 44// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020124,Age 40 to 44// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020125,"Age 40 to 44// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020126,Age 40 to 44// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020127,Age 45 to 49// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020128,Age 45 to 49// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020129,"Age 45 to 49// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020130,Age 45 to 49// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020131,Age 45 to 49// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020132,"Age 45 to 49// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020133,Age 45 to 49// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020134,Age 50 to 54// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020135,Age 50 to 54// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020136,"Age 50 to 54// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020137,Age 50 to 54// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020138,Age 50 to 54// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020139,"Age 50 to 54// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020140,Age 50 to 54// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020141,Age 55 to 59// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020142,Age 55 to 59// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020143,"Age 55 to 59// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020144,Age 55 to 59// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020145,Age 55 to 59// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020146,"Age 55 to 59// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020147,Age 55 to 59// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020148,Age 60 to 64// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020149,Age 60 to 64// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020150,"Age 60 to 64// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020151,Age 60 to 64// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020152,Age 60 to 64// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020153,"Age 60 to 64// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020154,Age 60 to 64// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020155,Age 65 to 69// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020156,Age 65 to 69// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020157,"Age 65 to 69// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020158,Age 65 to 69// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020159,Age 65 to 69// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020160,"Age 65 to 69// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020161,Age 65 to 69// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020162,Age 70 to 74// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020163,Age 70 to 74// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020164,"Age 70 to 74// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020165,Age 70 to 74// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020166,Age 70 to 74// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020167,"Age 70 to 74// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020168,Age 70 to 74// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020169,Age 75 to 79// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020170,Age 75 to 79// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020171,"Age 75 to 79// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020172,Age 75 to 79// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020173,Age 75 to 79// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020174,"Age 75 to 79// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020175,Age 75 to 79// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020176,Age 80 to 84// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020177,Age 80 to 84// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020178,"Age 80 to 84// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020179,Age 80 to 84// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020180,Age 80 to 84// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020181,"Age 80 to 84// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020182,Age 80 to 84// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020183,Age 85 and over// TOTAL: Economic Activity// TOTAL: Marital Status// TOTAL: Sex// Persons// Residents in households
S020184,Age 85 and over// TOTAL: Economic Activity// TOTAL: Marital Status// Male// Persons// Residents in households
S020185,"Age 85 and over// TOTAL: Economic Activity// Single, Widowed or Divorced// Male// Persons// Residents in households"
S020186,Age 85 and over// TOTAL: Economic Activity// Married// Male// Persons// Residents in households
S020187,Age 85 and over// TOTAL: Economic Activity// TOTAL: Marital Status// Female// Persons// Residents in households
S020188,"Age 85 and over// TOTAL: Economic Activity// Single, Widowed or Divorced// Female// Persons// Residents in households"
S020189,Age 85 and over// TOTAL: Economic Activity// Married// Female// Persons// Residents in households
S020190,TOTAL: Age// Retired// TOTAL: Marital Status// Male// Persons// Residents in households
S020199,Age 35 to 39// Retired// TOTAL: Marital Status// Male// Persons// Residents in households
S020200,Age 40 to 44// Retired// TOTAL: Marital Status// Male// Persons// Residents in households
S020201,Age 45 to 49// Retired// TOTAL: Marital Status// Male// Persons// Residents in households
S020202,Age 50 to 54// Retired// TOTAL: Marital Status// Male// Persons// Residents in households
S020203,Age 55 to 59// Retired// TOTAL: Marital Status// Male// Persons// Residents in households
S020204,Age 60 to 64// Retired// TOTAL: Marital Status// Male// Persons// Residents in households
S020205,Age 65 to 69// Retired// TOTAL: Marital Status// Male// Persons// Residents in households
S020206,Age 70 to 74// Retired// TOTAL: Marital Status// Male// Persons// Residents in households
S020207,Age 75 to 79// Retired// TOTAL: Marital Status// Male// Persons// Residents in households
S020208,Age 80 to 84// Retired// TOTAL: Marital Status// Male// Persons// Residents in households
S020209,Age 85 and over// Retired// TOTAL: Marital Status// Male// Persons// Residents in households
S030210,"TOTAL: Residents// Total (Includes campers, vagrants, etc.)// TOTAL: Sex// Persons// Persons present"
S030211,"TOTAL: Residents// Total (Includes campers, vagrants, etc.)// Males// Persons// Persons present"
S030212,"TOTAL: Residents// Total (Includes campers, vagrants, etc.)// Females// Persons// Persons present"
S030213,"Not usually resident// Total (Includes campers, vagrants, etc.)// TOTAL: Sex// Persons// Persons present"
S030214,"Not usually resident// Total (Includes campers, vagrants, etc.)// Males// Persons// Persons present"
S030215,"Not usually resident// Total (Includes campers, vagrants, etc.)// Females// Persons// Persons present"
S030216,"Staff (Includes relatives of staff)// Total (Includes campers, vagrants, etc.)// TOTAL: Sex// Persons// Persons present"
S030217,"Staff (Includes relatives of staff)// Total (Includes campers, vagrants, etc.)// Males// Persons// Persons present"
S030218,"Staff (Includes relatives of staff)// Total (Includes campers, vagrants, etc.)// Females// Persons// Persons present"
S030219,"Other// Total (Includes campers, vagrants, etc.)// Males// Persons// Persons present"
S030220,"Other// Total (Includes campers, vagrants, etc.)// Females// Persons// Persons present"
S030221,TOTAL: Residents// Hotels/Boarding Houses// TOTAL: Sex// Persons// Persons present
S030222,TOTAL: Residents// Hotels/Boarding Houses// Males// Persons// Persons present
S030223,TOTAL: Residents// Hotels/Boarding Houses// Females// Persons// Persons present
S030224,Not usually resident// Hotels/Boarding Houses// TOTAL: Sex// Persons// Persons present
S030225,Not usually resident// Hotels/Boarding Houses// Males// Persons// Persons present
S030226,Not usually resident// Hotels/Boarding Houses// Females// Persons// Persons present
S030227,Staff (Includes relatives of staff)// Hotels/Boarding Houses// TOTAL: Sex// Persons// Persons present
S030228,Staff (Includes relatives of staff)// Hotels/Boarding Houses// Males// Persons// Persons present
S030229,Staff (Includes relatives of staff)// Hotels/Boarding Houses// Females// Persons// Persons present
S030230,Other// Hotels/Boarding Houses// Males// Persons// Persons present
S030231,Other// Hotels/Boarding Houses// Females// Persons// Persons present
S030232,TOTAL: Residents// Children's homes// TOTAL: Sex// Persons// Persons present
S030233,TOTAL: Residents// Children's homes// Males// Persons// Persons present
S030234,TOTAL: Residents// Children's homes// Females// Persons// Persons present
S030235,Not usually resident// Children's homes// TOTAL: Sex// Persons// Persons present
S030236,Not usually resident// Children's homes// Males// Persons// Persons present
S030237,Not usually resident// Children's homes// Females// Persons// Persons present
S030238,Staff (Includes relatives of staff)// Children's homes// TOTAL: Sex// Persons// Persons present
S030239,Staff (Includes relatives of staff)// Children's homes// Males// Persons// Persons present
S030240,Staff (Includes relatives of staff)// Children's homes// Females// Persons// Persons present
S030241,Other// Children's homes// Males// Persons// Persons present
S030242,Other// Children's homes// Females// Persons// Persons present
S030243,TOTAL: Residents// Old People's Homes// TOTAL: Sex// Persons// Persons present
S030244,TOTAL: Residents// Old People's Homes// Males// Persons// Persons present
S030245,TOTAL: Residents// Old People's Homes// Females// Persons// Persons present
S030246,Not usually resident// Old People's Homes// TOTAL: Sex// Persons// Persons present
S030247,Not usually resident// Old People's Homes// Males// Persons// Persons present
S030248,Not usually resident// Old People's Homes// Females// Persons// Persons present
S030249,Staff (Includes relatives of staff)// Old People's Homes// TOTAL: Sex// Persons// Persons present
S030250,Staff (Includes relatives of staff)// Old People's Homes// Males// Persons// Persons present
S030251,Staff (Includes relatives of staff)// Old People's Homes// Females// Persons// Persons present
S030252,Other// Old People's Homes// Males// Persons// Persons present
S030253,Other// Old People's Homes// Females// Persons// Persons present
S030254,TOTAL: Residents// Psychiatric Hospitals// TOTAL: Sex// Persons// Persons present
S030255,TOTAL: Residents// Psychiatric Hospitals// Males// Persons// Persons present
S030256,TOTAL: Residents// Psychiatric Hospitals// Females// Persons// Persons present
S030257,Not usually resident// Psychiatric Hospitals// TOTAL: Sex// Persons// Persons present
S030258,Not usually resident// Psychiatric Hospitals// Males// Persons// Persons present
S030259,Not usually resident// Psychiatric Hospitals// Females// Persons// Persons present
S030260,Staff (Includes relatives of staff)// Psychiatric Hospitals// TOTAL: Sex// Persons// Persons present
S030261,Staff (Includes relatives of staff)// Psychiatric Hospitals// Males// Persons// Persons present
S030262,Staff (Includes relatives of staff)// Psychiatric Hospitals// Females// Persons// Persons present
S030263,Other// Psychiatric Hospitals// Males// Persons// Persons present
S030264,Other// Psychiatric Hospitals// Females// Persons// Persons present
S030265,TOTAL: Residents// Other Hospitals// TOTAL: Sex// Persons// Persons present
S030266,TOTAL: Residents// Other Hospitals// Males// Persons// Persons present
S030267,TOTAL: Residents// Other Hospitals// Females// Persons// Persons present
S030268,Not usually resident// Other Hospitals// TOTAL: Sex// Persons// Persons present
S030269,Not usually resident// Other Hospitals// Males// Persons// Persons present
S030270,Not usually resident// Other Hospitals// Females// Persons// Persons present
S030271,Staff (Includes relatives of staff)// Other Hospitals// TOTAL: Sex// Persons// Persons present
S030272,Staff (Includes relatives of staff)// Other Hospitals// Males// Persons// Persons present
S030273,Staff (Includes relatives of staff)// Other Hospitals// Females// Persons// Persons present
S030274,Other// Other Hospitals// Males// Persons// Persons present
S030275,Other// Other Hospitals// Females// Persons// Persons present
S030276,TOTAL: Residents// Schools and Colleges// TOTAL: Sex// Persons// Persons present
S030277,TOTAL: Residents// Schools and Colleges// Males// Persons// Persons present
S030278,TOTAL: Residents// Schools and Colleges// Females// Persons// Persons present
S030279,Not usually resident// Schools and Colleges// TOTAL: Sex// Persons// Persons present
S030280,Not usually resident// Schools and Colleges// Males// Persons// Persons present
S030281,Not usually resident// Schools and Colleges// Females// Persons// Persons present
S030282,Staff (Includes relatives of staff)// Schools and Colleges// TOTAL: Sex// Persons// Persons present
S030283,Staff (Includes relatives of staff)// Schools and Colleges// Males// Persons// Persons present
S030284,Staff (Includes relatives of staff)// Schools and Colleges// Females// Persons// Persons present
S030285,Other// Schools and Colleges// Males// Persons// Persons present
S030286,Other// Schools and Colleges// Females// Persons// Persons present
S030287,TOTAL: Residents// Prison Dept. Establishments// TOTAL: Sex// Persons// Persons present
S030288,TOTAL: Residents// Prison Dept. Establishments// Males// Persons// Persons present
S030289,TOTAL: Residents// Prison Dept. Establishments// Females// Persons// Persons present
S030290,Not usually resident// Prison Dept. Establishments// TOTAL: Sex// Persons// Persons present
S030291,Not usually resident// Prison Dept. Establishments// Males// Persons// Persons present
S030292,Not usually resident// Prison Dept. Establishments// Females// Persons// Persons present
S030293,Staff (Includes relatives of staff)// Prison Dept. Establishments// TOTAL: Sex// Persons// Persons present
S030294,Staff (Includes relatives of staff)// Prison Dept. Establishments// Males// Persons// Persons present
S030295,Staff (Includes relatives of staff)// Prison Dept. Establishments// Females// Persons// Persons present
S030296,Other// Prison Dept. Establishments// Males// Persons// Persons present
S030297,Other// Prison Dept. Establishments// Females// Persons// Persons present
S030298,TOTAL: Residents// Hotels/Lodging Houses// TOTAL: Sex// Persons// Persons present
S030299,TOTAL: Residents// Hotels/Lodging Houses// Males// Persons// Persons present
S030300,TOTAL: Residents// Hotels/Lodging Houses// Females// Persons// Persons present
S030301,Not usually resident// Hotels/Lodging Houses// TOTAL: Sex// Persons// Persons present
S030302,Not usually resident// Hotels/Lodging Houses// Males// Persons// Persons present
S030303,Not usually resident// Hotels/Lodging Houses// Females// Persons// Persons present
S030304,Staff (Includes relatives of staff)// Hotels/Lodging Houses// TOTAL: Sex// Persons// Persons present
S030305,Staff (Includes relatives of staff)// Hotels/Lodging Houses// Males// Persons// Persons present
S030306,Staff (Includes relatives of staff)// Hotels/Lodging Houses// Females// Persons// Persons present
S030307,Other// Hotels/Lodging Houses// Males// Persons// Persons present
S030308,Other// Hotels/Lodging Houses// Females// Persons// Persons present
S030309,TOTAL: Residents// Other Establishments// TOTAL: Sex// Persons// Persons present
S030310,TOTAL: Residents// Other Establishments// Males// Persons// Persons present
S030311,TOTAL: Residents// Other Establishments// Females// Persons// Persons present
S030312,Not usually resident// Other Establishments// TOTAL: Sex// Persons// Persons present
S030313,Not usually resident// Other Establishments// Males// Persons// Persons present
S030314,Not usually resident// Other Establishments// Females// Persons// Persons present
S030315,Staff (Includes relatives of staff)// Other Establishments// TOTAL: Sex// Persons// Persons present
S030316,Staff (Includes relatives of staff)// Other Establishments// Males// Persons// Persons present
S030317,Staff (Includes relatives of staff)// Other Establishments// Females// Persons// Persons present
S030318,Other// Other Establishments// Males// Persons// Persons present
S030319,Other// Other Establishments// Females// Persons// Persons present
S040320,TOTAL: Country of birth// TOTAL: Sex// Persons
S040321,TOTAL: Country of birth// Males// Persons
S040322,TOTAL: Country of birth// Females// Persons
S040323,England// TOTAL: Sex// Persons
S040324,England// Males// Persons
S040325,England// Females// Persons
S040326,Scotland// TOTAL: Sex// Persons
S040327,Scotland// Males// Persons
S040328,Scotland// Females// Persons
S040329,Wales// TOTAL: Sex// Persons
S040330,Wales// Males// Persons
S040331,Wales// Females// Persons
S040332,Rest of UK// TOTAL: Sex// Persons
S040333,Rest of UK// Males// Persons
S040334,Rest of UK// Females// Persons
S040335,Irish Republic// TOTAL: Sex// Persons
S040336,Irish Republic// Males// Persons
S040337,Irish Republic// Females// Persons
S040338,Old Commonwealth// TOTAL: Sex// Persons
S040339,Old Commonwealth// Males// Persons
S040340,Old Commonwealth// Females// Persons
S040341,New Commonwealth// TOTAL: Sex// Persons
